iter	Passed	Remaining
399	56752	85128
400	56873	84955
401	57000	84791
402	57139	84646
403	57260	84474
404	57417	84354
405	57562	84217
406	57695	84062
407	57856	83948
408	58019	83837
409	58172	83711
410	58323	83582
411	58470	83448
412	58633	83336
413	58784	83206
414	58940	83084
415	59088	82950
416	59223	82799
417	59370	82664
418	59522	82535
419	59663	82391
420	59777	82211
421	59907	82053
422	60059	81924
423	60203	81785
424	60355	81657
425	60492	81509
426	60643	81379
427	60807	81266
428	60964	81143
429	61097	80989
430	61239	80847
431	61394	80722
432	61543	80589
433	61693	80457
434	61848	80332
435	62005	80209
436	62169	80095
437	62307	79946
438	62467	79827
439	62630	79711
440	62781	79579
441	62912	79423
442	63052	79277
443	63200	79143
444	63341	78998
445	63495	78871
446	63658	78754
447	63797	78608
448	63891	78406
449	64011	78235
450	64158	78100
451	64277	77928
452	64410	77776
453	64544	77624
454	64688	77484
455	64846	77360
456	65001	77233
457	65164	77116
458	65310	76978
459	65434	76814
460	65556	76648
461	65689	76496
462	65839	76362
463	65974	76212
464	66118	76072
465	66265	75934
466	66399	75783
467	66546	75647
468	66694	75511
469	66809	75338
470	66962	75208
471	67086	75045
472	67219	74893
473	67329	74715
474	67450	74551
475	67605	74423
476	67748	74281
477	67914	74166
478	68053	74021
479	68233	73920
480	68381	73783
481	68527	73646
482	68686	73521
483	68846	73398
484	69002	73271
485	69151	73135
486	69306	73006
487	69451	72867
488	69593	72724
489	69738	72584
490	69892	72454
491	70042	72320
492	70182	72175
493	70350	72058
494	70469	71892
495	70620	71759
496	70757	71612
497	70859	71428
498	70975	71259
499	71094	71094
500	71238	70953
501	71343	70774
502	71466	70614
503	71593	70457
504	71745	70324
505	71898	70193
506	72049	70060
507	72199	69925
508	72334	69776
509	72465	69623
510	72607	69481
511	72769	69358
512	72893	69199
513	73045	69066
514	73204	68939
515	73347	68799
516	73464	68633
517	73589	68475
518	73731	68332
519	73883	68200
520	74011	68045
521	74135	67886
522	74270	67738
523	74402	67587
524	74539	67440
525	74686	67303
526	74817	67151
527	74963	67012
528	75093	66860
529	75240	66723
530	75387	66585
531	75524	66438
532	75635	66269
533	75781	66131
534	75938	66002
535	76079	65859
536	76248	65741
537	76385	65595
538	76512	65440
539	76662	65305
540	76789	65150
541	76911	64991
542	77052	64849
543	77196	64709
544	77351	64577
545	77468	64415
546	77573	64243
547	77715	64101
548	77841	63946
549	77968	63792
550	78114	63654
551	78257	63513
552	78369	63347
553	78506	63201
554	78649	63061
555	78776	62908
556	78873	62730
557	79022	62595
558	79165	62454
559	79294	62302
560	79433	62158
561	79553	62001
562	79672	61841
563	79819	61704
564	79967	61567
565	80108	61425
566	80232	61271
567	80341	61104
568	80493	60971
569	80610	60811
570	80737	60659
571	80944	60567
572	81099	60435
573	81271	60316
574	81421	60180
575	81578	60050
576	81733	59918
577	81865	59770
578	81989	59615
579	82107	59456
580	82237	59307
581	82378	59165
582	82527	59029
583	82663	58883
584	82813	58748
585	82961	58611
586	83107	58472
587	83251	58332
588	83396	58193
589	83547	58058
590	83698	57923
591	83836	57779
592	83982	57640
593	84129	57502
594	84262	57355
595	84407	57215
596	84553	57077
597	84682	56926
598	84836	56793
599	84981	56654
600	85114	56507
601	85237	56352
602	85361	56200
603	85459	56029
604	85571	55869
605	85710	55725
606	85852	55584
607	85984	55437
608	86096	55277
609	86247	55141
610	86384	54997
611	86527	54857
612	86674	54719
613	86791	54562
614	86937	54424
615	87079	54283
616	87228	54146
617	87344	53989
618	87485	53848
619	87615	53699
620	87733	53544
621	87820	53369
622	87961	53228
623	88069	53067
624	88201	52920
625	88348	52783
626	88492	52644
627	88613	52490
628	88741	52341
629	88897	52209
630	89033	52065
631	89162	51917
632	89290	51768
633	89411	51616
634	89546	51471
635	89663	51316
636	89786	51165
637	89926	51023
638	90045	50870
639	90176	50724
640	90314	50581
641	90452	50439
642	90592	50298
643	90739	50160
644	90892	50026
645	91036	49886
646	91198	49757
647	91337	49615
648	91502	49487
649	91642	49345
650	91781	49204
651	91917	49060
652	92066	48923
653	92200	48779
654	92350	48642
655	92503	48507
656	92667	48378
657	92826	48247
658	92984	48114
659	93124	47973
660	93236	47816
661	93380	47677
662	93529	47540
663	93679	47403
664	93811	47258
665	93956	47119
666	94114	46986
667	94256	46846
668	94410	46711
669	94555	46572
670	94696	46430
671	94855	46298
672	95016	46166
673	95177	46035
674	95332	45900
675	95484	45764
676	95628	45624
677	95782	45489
678	95919	45346
679	96044	45197
680	96188	45057
681	96336	44919
682	96483	44780
