model,rmse,mae,r2
LightGBM,0.8534077993342593,0.07112941047233867,0.6752129615413702
Ensemble,0.9408746509604775,0.06768823583515213,0.6052255747952312
XGBoost,1.118923103435687,0.07754618000238359,0.44167643747803453
CatBoost,1.189551403914495,0.09197758586814904,0.3689672463959843
